Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Lorenzo De Silvestri,it ITA,DF MF,Torino,28,1988,16,15,1254,13.sept,1,3,4,1,0,0,1,0,0.07,0.22,0.29,0.07,0.29
Grégoire Defrel,mq MTQ,FW MF,Sassuolo,25,1991,29,23,1954,21.juil,12,2,14,11,1,1,1,0,0.55,0.09,0.64,0.51,0.60
Alessandro Deiola,it ITA,MF,Cagliari,20,1995,5,3,244,02.juil,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Cristian Dell'Orco,it ITA,DF,Sassuolo,22,1994,9,9,775,08.juin,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Fabio Depaoli,it ITA,DF MF,Chievo,19,1997,6,5,446,5.0,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00
Daniele Dessena,it ITA,MF,Cagliari,29,1987,18,16,1185,13.févr,2,0,2,2,0,0,4,1,0.15,0.00,0.15,0.15,0.15
Mattia Destro,it ITA,FW,Bologna,25,1991,30,28,2467,27.avr,11,0,11,11,0,1,4,0,0.40,0.00,0.40,0.40,0.40
Gerard Deulofeu,es ESP,FW MF,Milan,22,1994,17,16,1459,16.févr,4,3,7,4,0,0,4,0,0.25,0.19,0.43,0.25,0.43
Federico Di Francesco,it ITA,FW MF,Bologna,22,1994,24,11,1088,12.janv,4,3,7,4,0,0,3,1,0.33,0.25,0.58,0.33,0.58
Davide Di Gennaro,it ITA,FW MF,Cagliari,28,1988,20,17,1434,15.sept,2,5,7,2,0,0,6,1,0.13,0.31,0.44,0.13,0.44
Nunzio Di Roberto,it ITA,FW,Crotone,30,1985,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Alessandro Diamanti,it ITA,FW MF,Palermo,33,1983,31,18,1698,18.sept,1,5,6,1,0,0,8,1,0.05,0.27,0.32,0.05,0.32
Amadou Diawara,gn GUI,MF,Napoli,19,1997,18,10,1046,11.juin,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Kevin Diks,id IDN,DF,Fiorentina,19,1996,2,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Federico Dimarco,it ITA,DF MF,Empoli,18,1997,12,6,649,07.févr,0,1,1,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14
Assane Dioussé,sn SEN,MF,Empoli,18,1997,33,26,2408,26.août,0,0,0,0,0,0,13,0,0.00,0.00,0.00,0.00,0.00
Dodô,br BRA,DF,Sampdoria,24,1992,7,4,409,04.mai,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Gianluigi Donnarumma,it ITA,GK,Milan,17,1999,38,38,342,38.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Godfred Donsah,gh GHA,MF,Bologna,20,1996,13,10,885,09.août,0,2,2,0,0,0,2,0,0.00,0.20,0.20,0.00,0.20
