Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Curtis Davies;sl SLE;DF;Hull City;31;1985;26;25;2 135;23.juil;0;2;2;0;0;0;4;0;0.00;0.08;0.08;0.00;0.08
Tom Davies;eng ENG;MF;Everton;18;1998;24;18;1 544;17.févr;2;3;5;2;0;0;4;0;0.12;0.17;0.29;0.12;0.29
Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK
Steven Davis;nir NIR;MF;Southampton;31;1985;32;29;2 643;29.avr;0;3;3;0;0;0;3;0;0.00;0.10;0.10;0.00;0.10
Craig Dawson;eng ENG;DF;West Brom;26;1990;37;37;3 276;36.4;4;0;4;4;0;0;10;0;0.11;0.00;0.11;0.11;0.11
Michael Dawson;eng ENG;DF;Hull City;32;1983;22;19;1 722;19.janv;3;0;3;3;0;0;4;0;0.16;0.00;0.16;0.16;0.16
Kevin De Bruyne;be BEL;FW MF;Manchester City;25;1991;36;33;2 877;32.0;6;17;23;6;0;1;4;0;0.19;0.53;0.72;0.19;0.72
Mathieu Debuchy;fr FRA;DF;Arsenal;31;1985;1;1;15;0.2;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00
Troy Deeney;eng ENG;FW;Watford;28;1988;37;31;2 944;32.7;10;4;14;7;3;3;7;0;0.31;0.12;0.43;0.21;0.34
Jermain Defoe;eng ENG;FW;Sunderland;33;1982;37;37;3 321;36.9;15;2;17;10;5;5;1;0;0.41;0.05;0.46;0.27;0.33
Steven Defour;be BEL;MF;Burnley;28;1988;21;16;1 068;11.sept;1;3;4;1;0;0;1;0;0.08;0.25;0.34;0.08;0.34
Damien Delaney;ie IRL;DF;Crystal Palace;35;1981;30;21;2 014;22.avr;0;2;2;0;0;0;8;0;0.00;0.09;0.09;0.00;0.09
Fabian Delph;eng ENG;DF MF;Manchester City;26;1989;7;2;224;02.mai;1;0;1;1;0;0;1;0;0.40;0.00;0.40;0.40;0.40
